"X","Salary"
1,2860.28795761292
2,7148.93781514783
3,2611.33621046103
4,2170.65175487575
5,2082.17787044181
6,2557.62723048907
7,3179.20070686983
8,1514.31384147186
9,3381.99855924178
10,1904.59152926703
11,4314.42205906472
12,2094.33581559947
13,3723.78050378833
14,5274.81629958137
15,2224.06552837675
16,3575.66267001608
17,3315.27191673314
18,1907.66399870697
19,2770.33225403886
20,3439.06886333182
21,1743.44291666301
22,2284.27703417953
23,3015.74275927495
24,2899.81493671828
25,1607.12573091065
26,1776.27389482466
27,2492.53422569048
28,3474.50574005495
29,2645.79010123906
30,5173.02060159051
31,3552.83272047218
32,3732.20813369524
33,4163.44325010852
34,1930.54112012136
35,2716.05933104174
36,1899.3785027878
37,2697.42671216866
38,2884.49543375458
39,3040.69984748576
40,2082.41503587152
41,1806.29072360718
42,3088.62394389304
43,3294.92915539232
44,4486.45111280685
45,2479.65171501502
46,3831.39919266431
47,2323.10335045365
48,2384.49411551291
49,4550.32436546537
50,1894.23409122293
51,1592.15087273124
52,4561.81633403262
53,2251.68164379081
54,1446.76574044898
55,3476.98244114828
56,2287.19936288293
57,2366.26714370355
58,6891.37888385868
59,3120.85930613088
60,3415.83067454363
61,1696.82197598858
62,4340.72729079317
63,2167.85518026125
64,1832.17175602449
65,2732.33837742575
66,3912.11066777843
67,1430.35528756937
68,2353.71740304377
69,2668.27424073498
70,1822.24819278193
71,2395.89675664348
72,5771.6599080275
73,1679.70032030233
74,2379.63130660519
75,2286.22418220097
76,1875.080290779
77,3484.17102763299
78,3302.1117034247
79,2383.33396797666
80,1673.45826514547
81,2378.45751608476
82,1554.18797663428
83,3232.12834769322
84,2894.25342780846
85,1711.4648679157
86,1845.61736692085
87,2267.42550611283
88,3570.87428944796
89,4642.25655998957
90,2982.59635591229
91,3809.55824938734
92,2169.63699826861
93,2222.60040547472
94,5031.67094564991
95,4149.72874240352
96,2352.49750732166
97,2706.36517322001
98,5838.0771696163
99,1813.21134503249
100,2731.03410294863
101,1723.53236684367
102,3532.21877431192
103,4230.94122041553
104,2383.94134115636
105,2837.8657826136
106,2302.45118147886
107,1949.01766437286
108,1821.67552139568
109,2488.54986287022
110,1817.40265436298
111,1490.8924046524
112,1867.10053882883
113,2312.65777856726
114,2164.0608328634
115,1839.513106729
116,2110.38884011539
117,4017.36835835633
118,2526.22084941881
119,3337.29516568479
120,4161.60413759933
121,2008.45654607609
122,2110.23316770791
123,1904.57594231943
124,1936.33516215997
125,1862.17386221651
126,1778.66421132673
127,1896.32486800792
128,2588.97784040684
129,3649.33779082437
130,2537.30172040298
131,2143.53094296316
132,2373.60701724683
133,2609.47256089878
134,3864.85869890781
135,1721.65816420917
136,2802.03856832277
137,3754.44837609169
138,4217.02990032086
139,3113.05219926186
140,2600.40691319855
141,8751.92415741896
142,3820.06978277105
143,9255.45109233783
144,2707.36699670697
145,1806.58529383646
146,1763.84292281903
147,3645.77584180188
148,2350.59222958904
149,5249.29683140474
150,2018.00784493728
151,4430.1482547213
152,3967.17713496886
153,2511.2923077851
154,2549.29314117675
155,1701.15057424188
156,3797.47997567688
157,2750.67554717746
158,2307.89398744506
159,1872.1861095298
160,1941.97896280584
161,1858.19431509146
162,4256.02372571725
163,3802.76561557975
164,2707.01621834099
165,2181.61425590389
166,2914.882682528
167,9471.37031916069
168,3297.45267263715
169,3134.26841715499
170,3180.94059885676
171,2485.96815314645
172,1761.96907236618
173,1665.04245150332
174,6281.99378990582
175,2575.73208107321
176,2034.93709858657
177,2574.23725565764
178,1980.90411183491
179,3018.49573694333
180,2057.76499604353
181,1493.15476083858
182,1747.08278759599
183,2803.18368332705
184,2220.63665319066
185,2715.1485566941
186,3156.01876711129
187,2944.3080546075
188,3909.24550044492
189,4064.51371975405
190,2164.39560111746
191,2551.21756468232
192,3250.86519181581
193,3040.51713972505
194,1956.18741459911
195,2520.97038101796
196,2268.90813143764
197,4610.58957739658
198,1567.78991184022
199,2363.73505136707
200,3915.75827071912
201,1836.63326850968
202,2833.11290841782
203,2055.49911271218
204,2067.60121554802
205,1810.10559473805
206,2628.93075254464
207,2479.24530796368
208,2453.17147546126
209,2178.24689652917
210,1681.21713387432
211,2434.15772436345
212,1837.44267724211
213,1549.21440776586
214,2263.57266118675
215,1905.1733462045
216,2456.57820362753
217,2666.67735722823
218,1904.12541277556
219,3227.66581941852
220,2905.74889094619
221,2175.17035232783
222,2568.71788011025
223,5370.88462560881
224,2266.75189750476
225,2277.16074378967
226,2735.60960775887
227,2977.19748939125
228,4000.19286290533
229,4757.68162892849
230,2385.04113489635
231,1918.68374089585
232,2970.35489442162
233,2892.68591164112
234,1873.89345172423
235,1831.71490877579
236,1655.84045262218
237,3517.27952060011
238,3390.99203793812
239,2515.70396454049
240,3737.70342031397
241,3300.16567672084
242,2477.856661511
243,2197.15513747643
244,1463.81911074041
245,2065.30074297599
246,4156.08792554954
247,1980.3507994159
248,3157.77441024509
249,2300.00833679322
250,2944.407677606
251,1602.84712435211
252,2065.51363502022
253,1833.98298367418
254,2718.0080271448
255,3882.39496035908
256,4300.63972527024
257,1723.34988028364
258,2444.19352761932
259,4095.37128662525
260,1357.42708639509
261,3182.06173125977
262,3091.18151475323
263,1795.2413386966
264,2166.24498478763
265,2872.91422246889
266,4863.67779869343
267,1508.05091757818
268,2898.14751598564
269,2648.37521232243
270,7377.79214977004
271,1677.21780091594
272,4340.99527655663
273,3672.96067416723
274,3230.02358415009
275,5578.34859391161
276,1828.95308495341
277,2181.96470775352
278,1633.68201921236
279,3071.66490837348
280,3494.83216068427
281,3726.81867774168
282,2974.44632073068
283,3500.12877934093
284,1884.5285121265
285,2467.01696824045
286,2647.15278276773
287,1967.21440068162
288,1578.49207306011
289,4946.61148755673
290,3528.16518880432
291,2038.03659617543
292,2460.48411207491
293,1824.46134506251
294,2880.5116343031
295,3515.19303922646
296,2226.20216449397
297,2040.59487763979
298,2122.59570324532
299,3365.7498237777
300,1780.48199804432
301,4222.89977777929
302,1558.16642012672
303,2984.70305675546
304,1579.40420943815
305,2352.42102769542
306,3795.70597195769
307,2790.99843192654
308,2222.25506954441
309,1733.26026316224
310,2228.86917562101
311,5352.60024924971
312,2466.92388688397
313,1928.94625183113
314,4014.54162656897
315,4596.36892658737
316,1998.95158671341
317,2502.69808017381
318,4310.1944997582
319,1849.35147562048
320,2703.26554958874
321,4161.72030811243
322,3837.15348700587
323,3430.45437099731
324,2159.42879123467
325,1911.04555511322
326,2104.70049161217
327,3072.0122560639
328,2105.22866670562
329,3577.28279513195
330,2340.70741908943
331,2094.94535227198
332,1967.36176039597
333,2477.99380494942
334,1932.44271029585
335,3118.54654557497
336,2310.73827901915
337,2476.05968313889
338,2210.92127282043
339,2445.61571258831
340,1873.76736703649
341,2075.7508572525
342,1538.93332123214
343,2963.73845400837
344,1797.49237809838
345,1497.58484087035
346,4541.70098894191
347,4500.39424569251
348,3850.7261233688
349,3271.83894029054
350,2100.43828947017
351,1916.75286296374
352,1757.05647225332
353,1771.85016529934
354,1569.68038251642
355,7222.33993986606
356,2390.19455302076
357,3342.41983082899
358,3242.66026304096
359,1565.19061845265
360,1910.6094601167
361,1653.06410312789
362,5112.51378053015
363,2455.36735321603
364,2257.37132492161
365,2614.74596354623
366,2591.39494953665
367,4137.63086991953
368,3549.40388752846
369,1515.62316850565
370,2466.98542185535
371,3574.31956098106
372,3329.80419219009
373,3205.85127202468
374,1551.15399549401
375,1921.29347808814
376,1422.56302842982
377,3022.8116326954
378,3020.35274224078
379,2021.43367931862
380,1833.65500661752
381,2667.14569899446
382,4660.77735737063
383,1397.41828980085
384,1639.33569322735
385,1795.26132750328
386,4287.93375840202
387,4075.11280349981
388,1674.35587792873
389,2090.33336098047
390,2353.52429163673
391,2110.02750568433
392,11410.2361082831
393,1733.77741204369
394,2342.85685949426
395,1956.3555488163
396,3518.04632656477
397,2444.27247617446
398,3367.12057268349
399,1287.00241234951
400,2620.75581282219
401,3559.7812497705
402,3836.00195245862
403,2440.26973703145
404,2578.44004071867
405,3511.92824943508
406,2132.17111027608
407,1623.58522705194
408,1927.4554028342
409,2347.4477587936
410,2180.51355454407
411,3181.65954517985
412,3516.02743546516
413,1957.98813734238
414,3743.13360373601
415,2117.81281566688
416,1572.95174470521
417,2168.37010107754
418,1687.19164061552
419,1802.86819684256
420,3488.23882288331
421,5670.8614696337
422,2084.9339466314
423,1763.93549656936
424,1570.20053759581
425,1518.04494896184
426,1880.87324036876
427,1997.92109109426
428,2316.59827719149
429,1785.84520809501
430,6233.0251666981
431,1220.25327616295
432,1862.59866628328
433,2238.45842276041
434,2257.05810150318
435,2960.63549053353
436,1184.51440715842
437,3225.56468295135
438,1535.85473783136
439,3532.06401447162
440,1549.80289739747
441,1757.44277507702
442,1356.40221198389
443,3078.52705461372
444,3373.42811953684
445,1995.03322566816
446,2557.92905829652
447,3014.91037456573
448,6883.94764741145
449,2170.19040607067
450,2132.3444825193
451,3181.01711033697
452,2333.12115211412
453,2068.35941623838
454,2469.76150726383
455,1389.57933122549
456,3515.68449557956
457,9628.99204070108
458,2674.80486550183
459,2644.92511343077
460,2883.33468224793
461,1869.01988320188
462,1915.00523175791
463,2394.89855068746
464,3354.1373881075
465,2214.06422302451
466,2996.26876916058
467,1575.62373411939
468,3616.58393945506
469,1722.10431201202
470,4336.83203727316
471,2783.81895838552
472,1964.42486097859
473,3151.02784366001
474,2446.07752479638
475,2895.53698178454
476,3717.02294231379
477,2238.46012447042
478,1980.67108026155
479,2686.23709808222
480,2286.8927954967
481,2618.42322233801
482,2511.04562279764
483,2550.43534142604
484,2338.00106973505
485,3135.74548533047
486,3750.09439496274
487,3962.64987341184
488,3658.74965943372
489,1923.39832187857
490,2917.86746813588
491,1997.04574093061
492,2372.31857527456
493,1810.65325347641
494,3929.81245524137
495,1458.48667302328
496,5878.82716126056
497,2000.42858731585
498,2613.83438670179
