"X","HumanLongevity"
1,51.6970643478318
2,61.2250014062052
3,66.786487502322
4,57.665884059991
5,31.3725622207261
6,53.6978030895701
7,87.7953482029936
8,75.4271509477166
9,57.5598782987879
10,65.7382848694549
11,72.4813914913122
12,85.4086274020865
13,82.4323303376207
14,76.6217573884712
15,69.7768789161119
16,75.0465202916918
17,52.0235024436571
18,58.6686186747559
19,75.3910723914687
20,58.7383840718845
21,70.7367768247464
22,67.7935562455932
23,69.4043472335092
24,69.8620599559093
25,89.6831466599743
26,78.4165247832592
27,64.2081727792807
28,67.2963387404882
29,73.0900485469676
30,52.9761533082329
31,80.5865509751804
32,64.5774728246232
33,72.9296392871408
34,71.5980105139539
35,69.0012968706406
36,51.6543341362581
37,71.7437618430604
38,67.1518115365076
39,79.9804086091495
40,69.3033694942272
41,68.0836249370193
42,83.1401089961121
43,66.684968190339
44,69.3285346835115
45,77.470931046223
46,63.329150883598
47,65.1800685022077
48,66.7167413593542
49,75.041107589697
50,77.9349072212818
51,70.7611559007332
52,68.583767328629
53,66.0291621275189
54,59.3486090016147
55,35.9184845024727
56,70.6639360338769
57,73.3427402368806
58,69.2529362906015
59,74.405230984409
60,34.8141866604364
61,67.5471427303848
62,67.9464089193575
63,66.0272618169544
64,43.7577455936143
65,67.487421975946
66,73.9673054026291
67,47.6993420415477
68,56.7088304667395
69,69.2557861754224
70,63.344158978479
71,76.8083998784695
72,69.1181392021765
73,65.5657564430349
74,53.7099332005392
75,73.6720482958603
76,57.6872948158687
77,66.7111036625288
78,74.6046101641455
79,65.4238207655957
80,79.4821342284677
81,56.2448296585593
82,78.8956687543788
83,65.5186764813809
84,59.5622628869762
85,83.1447008583173
86,79.8677878173928
87,63.6877127501404
88,75.0496097213372
89,65.5025993997183
90,70.3806471150291
91,75.7010552565076
92,71.9283742400337
93,74.970486857765
94,58.9477786796487
95,63.8098252740655
96,63.8909861735451
97,66.5828910255919
98,79.9931249482528
99,66.2327784822145
100,89.018579253505
101,74.315090050177
102,52.4340074275512
103,65.1797441224427
104,73.8299444537351
105,59.5555518916387
106,69.676227162768
107,63.7469751926784
108,56.585420600367
109,56.3561217205916
110,79.5698798386151
111,66.9293680212717
112,58.1999546680263
113,68.7326685960181
114,55.9958331227871
115,72.7335906783014
116,64.8286528614188
117,92.3780311785148
118,73.5819534383923
119,45.5827579278949
120,83.3718783644648
121,67.5915660496845
122,49.8605083331345
123,57.4585550560201
124,42.7882858792981
125,82.8616490832281
126,62.6624097986165
127,78.8254150376093
