"X","Height"
1,146.582248894186
2,158.932599862312
3,176.280965714248
4,129.059824898505
5,113.891937113136
6,119.232263271455
7,168.124636243278
8,135.557756455298
9,145.18199686951
10,162.446599000336
11,142.699241717143
12,117.177458459715
13,142.422337856091
14,141.746417934317
15,140.106655605011
16,136.036023957922
17,155.889554382208
18,155.558989250803
19,153.445575812012
20,150.205385516476
21,142.944331729412
22,122.086129529942
23,133.688813957808
24,154.631137030054
25,136.710576460719
26,156.202266226994
27,120.526809807443
28,151.419247215314
29,165.819089146856
30,130.71891486056
31,154.299859546013
32,146.136008318092
33,152.98828460962
34,141.691163639943
35,151.037809049378
36,135.173651820728
37,138.175449599946
38,167.888839500064
39,108.069475218804
40,103.885715919713
41,129.260070496667
42,140.864486077437
43,154.576499417578
44,135.421591355524
45,134.270864724174
46,115.699605568996
47,151.728300842472
48,127.206596159924
49,152.860455174119
50,117.44789019292
51,138.780556483271
52,160.230630895667
53,130.232827317173
54,145.614600484078
55,138.163491056348
56,152.564786909194
57,155.654209697523
58,138.384592111067
59,159.217598235448
60,155.508346873763
61,141.515643161804
62,165.255661802023
63,173.36667558443
64,170.060293710338
65,169.965496463953
66,142.000449139557
67,132.715674867842
68,131.869015462309
69,128.763707221213
70,148.715620746167
71,120.860240265523
72,151.13010709667
73,164.110469194107
74,171.083036789694
75,135.266387803951
76,132.509904661134
77,138.457059925163
78,163.62697663799
79,143.758546309581
80,164.559258364405
81,155.134078603044
82,129.003672856943
83,148.419481678846
84,170.862717284215
85,150.698283781523
86,154.149891246754
87,138.696936984168
88,162.019367151436
89,166.528323887458
90,117.822630427142
91,165.571568096006
92,146.392821568949
93,159.157562349779
94,152.491755772503
95,127.176643325147
96,143.839695974323
97,173.470366195875
98,146.929877564242
99,158.572151355266
100,112.035196621296
101,114.690585960301
102,132.806134874536
103,123.053695665689
104,118.965674715593
105,145.749457722624
106,168.946592823058
107,163.747692443332
108,152.38879154971
109,154.990500596654
110,117.080120552873
111,190.964078925742
112,166.739118658708
113,161.759835011314
114,148.616945488742
115,147.873367088365
116,134.414562525358
117,149.327098363534
118,139.47874601855
119,136.404884245159
120,113.362712810926
121,133.011489607677
122,165.007898114807
123,152.701694195869
124,124.572441085651
125,150.70865461657
126,168.362076314638
127,131.831738738965
128,128.060962941592
129,146.475723542392
130,143.386046751722
131,137.37603021478
132,144.932228540252
133,133.775095112255
134,121.541033469642
135,102.413053722097
136,133.143745934976
137,111.878997307311
138,166.386671657286
139,142.765083598756
140,139.80101199603
141,150.781688017266
142,138.15034688121
143,156.411957737895
144,140.154348440204
145,139.309047859842
146,123.8135233053
147,124.648196079229
148,168.927313507468
149,153.242004518607
150,144.185028837927
151,142.33411193402
152,117.39824816548
153,163.144795838148
154,111.007280937977
155,164.616255960554
156,163.485833397362
157,139.723364607482
158,138.846185910239
159,127.510781422063
160,135.470366340436
161,164.026128554553
162,198.526832924577
163,149.109365743609
164,144.929947544341
165,149.550982325085
166,151.386149272273
167,169.361994684593
168,140.570686167979
169,147.965768131261
170,136.424658093963
171,139.590031064278
172,149.459230841199
173,132.841408517276
174,143.98144277193
175,173.872114199899
176,138.309392806167
177,158.947383505115
178,152.589673046386
179,147.162137664374
180,138.472798042859
181,165.656142090411
182,145.541128673194
183,156.062937714258
184,147.384412905405
185,139.096309473829
186,116.678981125679
187,148.469359599621
188,143.150295426418
189,140.10577712124
190,176.326226066322
191,146.199359299688
192,148.307458108829
193,144.202010676857
194,164.191815481818
195,144.891977366898
196,138.877946705583
197,124.277950340099
198,146.615046186495
199,138.538598251525
